Area,Servico,Solicitacao,Departamento,Setor,Responsavel
RH,Acessos ao contracheque,Auditoria de acessos ao contracheque,RH,Folha de Pagamento / DP,Key-user Folha / Analista de Folha / DP
RH,Benefícios,Auxílio Creche,RH,Benefícios,Analista de Benefícios (RH)
RH,Benefícios,Auxílio Home Office,RH,Benefícios,Analista de Benefícios (RH)
RH,Benefícios,Licenças e Afastamentos,RH,Benefícios,Analista de RH (Férias e ausências)
RH,Benefícios,Plano de Saúde,RH,Benefícios,Analista de Benefícios (RH)
RH,Benefícios,Plano Odontológico,RH,Benefícios,Analista de Benefícios (RH)
RH,Benefícios,Previdência Privada,RH,Benefícios,Analista de Benefícios (RH)
RH,Benefícios,Programa de Assistência,RH,Benefícios,Analista de Benefícios (RH)
RH,Benefícios,Seguro de Vida,RH,Benefícios,Analista de Benefícios (RH)
RH,Benefícios,Vale-alimentação,RH,Benefícios,Analista de Benefícios (RH)
RH,Benefícios,Vale-refeição,RH,Benefícios,Analista de Benefícios (RH)
RH,Benefícios,Vale-transporte,RH,Benefícios,Analista de Benefícios (RH)
RH,Benefícios,Wellhub (Gympass),RH,Benefícios,Analista de Benefícios (RH)
RH,Clima organizacional,Analytics de clima / humor,RH,Cultura & Clima,Key-user Clima / People Analytics (RH)
RH,Contracheque,Carta de Consignação,RH,Folha de Pagamento / DP,Analista de Folha / DP
RH,Contracheque,Comparativo Salarial,RH,Folha de Pagamento / DP,Self-service; suporte: Analista de Folha / DP
RH,Contracheque,Comprovante de Rendimentos,RH,Folha de Pagamento / DP,Analista de Folha / DP
RH,Contracheque,Demonstrativo Detalhado,RH,Folha de Pagamento / DP,Self-service; suporte: Analista de Folha / DP
RH,Contracheque,Descontos em Folha,RH,Folha de Pagamento / DP,Analista de Folha / DP
RH,Contracheque,Download em PDF,RH,Folha de Pagamento / DP,Self-service; suporte: Analista de Folha / DP
RH,Contracheque,Dúvidas sobre Rubricas,RH,Folha de Pagamento / DP,Analista de Folha / DP
RH,Contracheque,FGTS e Encargos,RH,Folha de Pagamento / DP,Analista de Folha / DP
RH,Contracheque,Histórico de Holerites,RH,Folha de Pagamento / DP,Self-service; suporte: Analista de Folha / DP
RH,Contracheque,Informe de Rendimentos,RH,Folha de Pagamento / DP,Analista de Folha / DP
RH,Contracheque,Solicitar 2ª Via,RH,Folha de Pagamento / DP,Analista de Folha / DP
RH,Contracheque,Visualizar Contracheque,RH,Folha de Pagamento / DP,Self-service; suporte: Analista de Folha / DP
RH,Feedback,Canal de feedback (RH e 1:1),RH,Cultura & Feedback,Key-user Feedback (RH)
RH,Férias e ausências,Abono Pecuniário,RH,Departamento Pessoal,Analista de RH (Férias e ausências) (aprovação: Gestor imediato)
RH,Férias e ausências,Afastamento INSS,RH,Departamento Pessoal,Analista de RH (Férias e ausências) (aprovação: Gestor imediato)
RH,Férias e ausências,Banco de Horas,RH,Departamento Pessoal,Analista de RH (Férias e ausências)
RH,Férias e ausências,Calendário da Equipe,RH,Departamento Pessoal,Gestor imediato
RH,Férias e ausências,Consultar Saldo de Férias,RH,Departamento Pessoal,Analista de RH (Férias e ausências)
RH,Férias e ausências,Falta Justificada,RH,Departamento Pessoal,Analista de RH (Férias e ausências) (aprovação: Gestor imediato)
RH,Férias e ausências,Histórico de Ausências,RH,Departamento Pessoal,Analista de RH (Férias e ausências)
RH,Férias e ausências,Licença Gala / Nojo,RH,Departamento Pessoal,Analista de RH (Férias e ausências) (aprovação: Gestor imediato)
RH,Férias e ausências,Licença Maternidade,RH,Departamento Pessoal,Analista de RH (Férias e ausências) (aprovação: Gestor imediato)
RH,Férias e ausências,Licença Paternidade,RH,Departamento Pessoal,Analista de RH (Férias e ausências) (aprovação: Gestor imediato)
RH,Férias e ausências,Registrar Atestado Médico,RH,Departamento Pessoal,Analista de RH (Férias e ausências) (aprovação: Gestor imediato)
RH,Férias e ausências,Solicitar Férias,RH,Departamento Pessoal,Analista de RH (Férias e ausências) (aprovação: Gestor imediato)
RH,Gestão de benefícios,Catálogo e atribuições de benefícios,RH,Benefícios,Key-user Benefícios / Analista de Benefícios (RH)
RH,Gestão de férias,Aprovar/rejeitar férias e ausências da equipe,RH,Departamento Pessoal,Gestor imediato
RH,Gestão de ponto,Fila de ajustes e aprovações de ponto,RH,Ponto / Departamento Pessoal,Gestor imediato + Analista de Ponto / DP
RH,Movimentações,Mérito (workflow gestor → RH),RH,Remuneração / C&B,Gestor imediato + Analista de RH (Remuneração / C&B)
RH,Ponto eletrônico,App e Relógio de Ponto,RH,Ponto / Departamento Pessoal,Analista de Ponto / DP / suporte TI
RH,Ponto eletrônico,Aprovar Pontos da Equipe,RH,Ponto / Departamento Pessoal,Gestor imediato
RH,Ponto eletrônico,Banco de Horas,RH,Ponto / Departamento Pessoal,Analista de Ponto / DP
RH,Ponto eletrônico,Espelho de Ponto,RH,Ponto / Departamento Pessoal,Analista de Ponto / DP
RH,Ponto eletrônico,Histórico de Marcações,RH,Ponto / Departamento Pessoal,Analista de Ponto / DP
RH,Ponto eletrônico,Horário de Trabalho,RH,Ponto / Departamento Pessoal,Analista de Ponto / DP
RH,Ponto eletrônico,Horas Extras,RH,Ponto / Departamento Pessoal,Analista de Ponto / DP
RH,Ponto eletrônico,Intervalo e Refeição,RH,Ponto / Departamento Pessoal,Analista de Ponto / DP
RH,Ponto eletrônico,Justificar Falta no Ponto,RH,Ponto / Departamento Pessoal,Gestor imediato + Analista de Ponto / DP
RH,Ponto eletrônico,Marcação Remota,RH,Ponto / Departamento Pessoal,Analista de Ponto / DP
RH,Ponto eletrônico,Registrar Ponto,RH,Ponto / Departamento Pessoal,Analista de Ponto / DP
RH,Ponto eletrônico,Solicitar Ajuste de Ponto,RH,Ponto / Departamento Pessoal,Gestor imediato + Analista de Ponto / DP
